sentiment,content
happiness,"@kevinriley Heh, thanks for that adorable plug  *cough* more info at: www.samstephens.com *cough* *cough*"
anger,@redhalo_pax That sucks.
neutral,Drinking bud light lime
neutral,Going to search out areas we would like for our dream home to also home my home based business one day soon.
happiness,@BeMeaningful thanks for FF wink
sadness,"Don't know what to do right now...pretty bored, but I refuse to study. Any suggestions?"
neutral,@nuttychris well if i use all my tweets will be the push to make me go to the shop. and by the time im back it will be over hopefully
sadness,Evaluating my people...Dont like this part of the job
sadness,It is 00:03 I'm Wrecked  I'M Hungry &amp; I have to get up early. Not the perfect Fri night LOL night
happiness,@LizMyxx okay...just eat cookies &amp;&amp; not share with me lol
happiness,Molly keeps punching me cuz she sees yellow cars. I'm gonna be covered in bruises. I don't like this game
anger,"@DJLisaFoxx Ouch. I used to hate it when I did that  (And then there are the irate callers who were trying to record, getting p***ed, etc)"
sadness,Getting my phone taken away
anger,@NikkiStixx @valentinamia omg you guys will know when I'm getting nasty!!  My head hurts
neutral,"Happy Mothers Day to all the Moms  It's a tough job, but totally worth it!"
sadness,Found out I have to go to the US again in August. Getting tired of transatlantic flights. Not good for my carbon footprint either
happiness,My whole life has come to this......incredibly amazing
sadness,@iAquarian I heart Mela so so much cept last time I went they booked us in on the Saturday instead of the Friday and wouldn't feed us
happiness,All moved in to our new apartment. So exciting
happiness,"@sotwitterpated Hi! Yeah I'm fine  Just being a girl Haha! But yeah, I'll be seeing u Thursday! Hehe, I'll tempt @janellebelle with a chai"
sadness,blehhh i feel poopie. i have a fever and my whole body hurtssss   FML
sadness,"@CindiCupcaking that's family for you  imna crash, woke up 630 3 days in a row....lol"
sadness,Exhausted after coming home from a swim this morning! It's more tiring than I remember! HAPPY MOTHERS DAY
neutral,@colinn And on Wednesday I'll get my government paycheck.  It's like we just swap money...
sadness,@dannygokey im so upset u were at US weekly my uncle works there but he apparently didnt know how big of a fan i am!
neutral,watching ALIAS from the beginning... approximately for the 117th time
sadness,About to go to my last theater lunch  im gonna cry.
sadness,@AlimSalahuddin LOL!!! I'm going to see it maybe today
happiness,? listening No Doubt ï¿½  &quot; It's My Life &quot; 59 listeners&lt;&lt; ohh yeahhh thanks   ? http://blip.fm/~5z4va
sadness,going out  I can't do this crap anymore :'(
sadness,To bed I go   Nighty Night
neutral,@RichardGiles mine pools... just in someone elses pocket
sadness,@krooyakkers what I thought ur going somewhere that's why I didn't invitw u
neutral,In gym doin it up in paddle ball!!!!   xo.
happiness,"Picked up a Jesse Lacey/Kevin Devine/Grace Read bootleg off the net from their acoustic tour, it's really good"
anger,@official_flo well thats not nice... hope ur all good now
neutral,@matthew_nl they're bees that will be trapped into my honeypot
neutral,Why is looking for girls names easier than looking for boys
happiness,@DavidArchie Shoping till you drop david..haha..enjoy your day
neutral,Can't concentrate  need a booster to woork
neutral,@oliviamunn How long before the Frisbee Golfer &quot;accidentally&quot; catches one in the back of the head from his friend
anger,its raining! boo
anger,@chicalit finding a place to crap on the move eh? Whoever said technology is crap?
happiness,@tonyrobbins Thanks for the reminder Tony
neutral,@Bia_Loves_NKOTB yup...as always....wonder when me and V will ever come back to Earth...getting kinda comfy up here
anger,SON OF A BITCH!!!! ARGGGHHHHHHHHHHH SO OVER IT.
sadness,Ustream replay for Control Your Rankings.  http://www.controlyourrankings.com/launch1/ustream.html
anger,"@NikkiCSWS OWW! that girl needs her meds. I feel her, though. Adam got cheated"
anger,@eboogiee smh Your whin with that comment
neutral,&quot;I never thought I'd die alone. Another six months I'll be unknown&quot;
neutral,"home for the nite, sleeping on the pull out bed with Maggie. wishing it was @kyla_durden  I got to find a apt"
anger,"FreeSat's coverage (Sky dish) is really, really bad at the moment, blocks all over the place, really annoying!  http://bit.ly/191TpR"
happiness,@caitlingray  lol hopefully it'll happen like next timee near the new album
happiness,"Sold bikes faster than expected, and we are running out of sizes.    Luckily the single speeds are on the ocean now! ETA -  EO June."
happiness,Ive been passed out drunk for the passed couple of hours.  Good to go now
sadness,@ChuckGysi  oh sorry - I misunderstood. I'm not 100% sure but I'm thinking there isn't
neutral,@BeachBabe4Ever genevaaa! my picture isnt showing up  i dont think im doing it right
happiness,"@Suzyqbee10  very sweet!!! HAHA. I am like super proud to be a new mom!!! I feel like, i got the PERFECT daughter. And i am a GREAT mom!!!"
sadness,i miss her ..... i hope she comes back
neutral,"waiting for my friend to come over, so we can hang out!"
sadness,@ozzblair  hugs for the bad day you're having?
happiness,"@spinallhead Bom dia, Uï¿½tisson!"
sadness,Storm system that looked to bring us rain today is going to miss us
sadness,"Its official, I'm having the worst day. I called it a mile away"
neutral,"@Agent_M ah. knowing microsoft, they could probby do it, but would want to charge way too much extra for it"
happiness,@smartie999 (((HUGS))) back to you - you also have that look!
sadness,"@Wolfie_Rankin And until soy beans have TEETS, soy &quot;milk&quot; *is not milk*."
neutral,@kyoisorange lol were always friends  i havent got hers yet .. and im busy next weekend  dunno when im getting yours and hers
happiness,"@MandyBookLover Same here, having a nice, quiet Sunday"
neutral,I am sooo tired
sadness,@brentleary what with the Force MD Tender love how could not love those guys
sadness,is sad coz hyd theka's dont have beer
neutral,Heading home
anger,@Hatz94 me too. I hate my computer so much..
anger,I feel so useless
neutral,"@Georgielockwood IM SORRRYY  i went to the cinema with my broth.. cause im cool.. and yeah im sorrrry  TOMORROW THO, ILL MAKE SURE OF IT"
sadness,"@SeandBlogonaut daddy wanted to buy me shoes, but they were prettie esspensive, so nao I haff to go bearfoot"
anger,Never before in the field of human conflict have so many hard drives died on me.   What a waste of a day.
sadness,@jimrhiz last reply  a scholar in US Homeland Security said an ontology was created for it &quot;and everybody hated it[s prescription].&quot;
neutral,"@sizemore well, its more the word bat (as in baseball) and cock and then viggo  not bat as in tiny little thing"
happiness,Watching next day air
happiness,@jords_ good morning - you're up early! Feeling enthused to design your life?  thanks to manics for that phrase
neutral,"@ceeemmess hi cs, welcome to the twitterverse, if i can help with anything, just ask"
sadness,Can't sleep!!! People keep textin me!!!
sadness,@IDrive_Online When will the maintanance end? I would like to backup some stuff.
sadness,@jmorgan0909 and I'm not getting another one ... There's only 1 alfie
sadness,I might get kicked out of school. Thing is they don't know that most of us need a job to live in this city.
anger,Hey ugh im sick and its summar !
happiness,Coffee time  be back later kisses*
anger,lost all my files since high school.
neutral,@Mitry909 no Belgian an not a record collector
anger,@egheitasean Which denomination? I'm at the library and everything's blocked.
anger,"@ruimoura dude, come on... at least rotate that motherfucker!"
happiness,Gotta get creative with these mothers day gifts. I'm gonna win them over with my love!!
happiness,Passing out  early  after the  river sounds amazing. To my cozy bed  with my cozy dogs
happiness,Last time we'll get tacos like this.
anger,I feel like poop. I hate being sick
neutral,goin to sleep busy day tmrw!
sadness,@yashved_2890 Nt able to follow anyone  friendorfollow.com here i come!!! #itsucks
sadness,@ChaseSanders  if she sees that she will cry! lol
happiness,@joshuawoodard happy birthday man! my ride to the wedding  i'll see you guys soon though. you play here JULY 27th!
neutral,@tanya_Jolene Try 90 4 next 3 days!  :O  Yuk!    lol  n e thing poppin' @ SN?
happiness,Wishing @Blacksocialite a Happy Mothers Day
neutral,In Kelantan! Good to be (sort of) home! :pI'm guilt stricken after having that turtle egg.  Really. Won't do it again. Really.
neutral,"@ShivaniRamaiah depends if u're applyn for credit cards or debit cards ..  in delhi, I got a new credit card delivrd in 14 hours"
anger,@soniei argh. I don't like ebay. I got outbid at the last second
neutral,after 11 months....back to twitter again
sadness,I worked at a car plant once..nobody believes me though. I repect all the hard workin folks in the world.
sadness,usually when im gone celebs come on its so unfair
happiness,@drchino Yay! I too had some joy in that department
neutral,can't sleep so i'm watching some more Gilmore Girls
anger,Iï¿½m really desappointed...
happiness,"Anyone knows a site like the Swedish site &quot;sl.se&quot; or the great useful &quot;www.tfl.gov.uk&quot;, but for Liverpool?"
happiness,"@ReneeJRoss Sure is rainy! the storm has left everything, everywhere... @litefm would love 4 u 2 follow us"
happiness,Its already hot outside...  thank goodness my car has amazing a.c!!! cyalater!!! off to work!!!
neutral,@coreymekell not a lot!! im bored! My names Crissy BTW lol How u doinnnn???
neutral,I joined twitter to stalk my fav celebs... is that weird?
anger,It's agreed if i find out who this girl was I'll punch her from everybody  xxx
anger,What a burden. Abit of a fail lunch with Dan
neutral,@Geeblink A eu fiz de chocolate
happiness,@peacePEACEout I totally did go! and he was AMAZING. He's is the reason I bought the tix. He only did 3 songs. But Blood Bank was 1.
happiness,Goin 2 eat some SMACKS 4 breakfast then getting started on my day- catch ya on the flipside- I really wish I cud go mobile-dang Bahrain
sadness,another build failed! something is not right in the big scheme of things!
neutral,So treat your Mom's like Queen's cuz they are
anger,Youtube is made of fail right now. Or maybe it's just me that it hates.
anger,Just finished reading Chuck Palahniuk's &quot;Pygmy&quot; and kind of hated it. I'm really disappointed; I had pretty high hopes for this one.
anger,@allysonalfonso hahah lucky!! i have to wait 4 days! poop lol where abouts in the gold coast are you? (if u dnt mind me asking)
